name,state,dept_type,url
klamath county sheriff's office,oregon,county agencies,https://www.klamathcounty.org/291/Sheriffs-Office
klamath falls police department,oregon,city agencies,https://www.klamathfalls.city/236/Police
la grande police department,oregon,city agencies,http://www.lagrandepolicedept.org/
lake county sheriff's office,oregon,county agencies,https://www.lakecountyor.org/government/sheriff.php
lake oswego police department,oregon,city agencies,https://www.ci.oswego.or.us/police
lakeview police department,oregon,city agencies,https://www.lakevieworegon.org/policedepartment.html
lane community college department of public safety,oregon,college and university agencies,https://www.lanecc.edu/psd/contact
lane county sheriff's office,oregon,county agencies,https://lanecounty.org/government/county_departments/sheriff_s_office
lebanon police department,oregon,city agencies,https://www.ci.lebanon.or.us/police/custom-contact-page/police-contact-information
lincoln city police department,oregon,city agencies,https://www.lincolncity.org/?SEC=6FD65D2A-4A24-416D-A602-11C6FA3B58A2
lincoln county sheriff's office,oregon,county agencies,https://www.co.lincoln.or.us/sheriff
linn-benton community college department of public safety,oregon,college and university agencies,https://www.linnbenton.edu/faculty-and-staff/college-services/public-safety-emergency-planning-ehs/index.php
linn county sheriff's office,oregon,county agencies,https://www.linnsheriff.org/
madras police department,oregon,city agencies,https://www.ci.madras.or.us/police
malheur county sheriff's office,oregon,county agencies,https://sheriff.malheurco.org/
malin police department,oregon,city agencies,https://cityofmalin.org/
manzanita police department,oregon,city agencies,https://ci.manzanita.or.us/
marion county sheriff's office,oregon,county agencies,https://www.co.marion.or.us/SO
mcminnville police department,oregon,city agencies,https://www.mcminnvilleoregon.gov/police
medford police department,oregon,city agencies,http://www.ci.medford.or.us/police
merrill police department,oregon,city agencies,http://www.cityofmerrill.org/departments/police-department
milton-freewater police department,oregon,city agencies,https://www.mfcity.com/police
milwaukie police department,oregon,city agencies,https://www.milwaukieoregon.gov/police
molalla police department,oregon,city agencies,https://www.cityofmolalla.com/police
monmouth police department,oregon,city agencies,https://www.ci.monmouth.or.us/pview.aspx?id=4746
morrow county sheriff's office,oregon,county agencies,https://www.co.morrow.or.us/sheriff
mt. angel police department,oregon,city agencies,https://www.ci.mt-angel.or.us/general/page/police
mt. hood community college department of public safety,oregon,college and university agencies,https://www.mhcc.edu/PublicSafety/
multnomah county sheriff's office,oregon,county agencies,https://www.mcso.us/
myrtle creek police department,oregon,city agencies,http://www.cityofmyrtlecreek.com/city_departments/police.php
myrtle point police department,oregon,city agencies,https://www.ci.myrtlepoint.or.us/general/page/myrtle-point-police-department
newberg-dundee police department,oregon,city agencies,https://www.newbergoregon.gov/police
newport police department,oregon,city agencies,https://newportoregon.gov/police/
north bend police department,oregon,city agencies,https://www.northbendoregon.us/police
north plains police department,oregon,city agencies,https://www.northplains.org/police
