name,state,dept_type,url
glenarden police department,maryland,municipal agencies,https://cityofglenarden.org/government/departments/police/
greenbelt police department,maryland,municipal agencies,https://www.greenbeltmd.gov/police
greensboro police department,maryland,municipal agencies,https://www.greensboromd.org/police-department
hagerstown police department,maryland,municipal agencies,https://www.hagerstownmd.org/141/Police
hampstead police department,maryland,municipal agencies,https://hampsteadmd.gov/?SEC=8A0A9BF5-6362-4D08-B463-78C04C1D9ACE
hancock police department,maryland,municipal agencies,https://www.townofhancock.org/police
harford community college department of public safety,maryland,university agencies,https://www.harford.edu/about/offices-and-departments/public-safety.aspx
harford county sheriff's office,maryland,county agencies,https://harfordsheriff.org/
havre de grace police department,maryland,municipal agencies,https://havredegracemd.gov/departments/police-department/
hood college department of campus safety,maryland,university agencies,https://www.hood.edu/offices-services/campus-safety
howard county department of fire and rescue - office of the fire marshal,maryland,law enforcement units within fire agencies,https://www.howardcountymd.gov/OFM
howard county police department,maryland,county agencies,https://www.howardcountymd.gov/Departments/Police/MM-Contact-Us
howard county sheriff's office,maryland,county agencies,https://www.howardcountymd.gov/Branches/Sheriffs-Office
hurlock police department,maryland,municipal agencies,http://www.hurlock-md.gov/
hyattsville city police department,maryland,municipal agencies,http://www.hyattsville.org/79/Police
johns hopkins university campus safety and security,maryland,university agencies,http://security.jhu.edu/
kent county sheriff's office,maryland,county agencies,https://sheriff.kentcounty.com/
landover hills police department,maryland,municipal agencies,https://msa.maryland.gov/msa/mdmanual/37mun/landover/html/l.html
la plata police department,maryland,municipal agencies,https://townoflaplata.org/?SEC=9D831963-A25F-4F8D-87AA-B03530EE0B53
laurel police department,maryland,municipal agencies,https://www.cityoflaurel.org/police
lonaconing police department,maryland,municipal agencies,https://msa.maryland.gov/msa/mdmanual/37mun/lonaconing/html/l.html
loyola university maryland department of public safety,maryland,university agencies,https://www.loyola.edu/department/public-safety
luke police department,maryland,municipal agencies,https://www.odmp.org/officer/18857-police-officer-iii-luke-timothy-hoffman
manchester police department,maryland,municipal agencies,https://manchestermd.gov/police/
